type,text,text_clean,target
ham,"Do well :)all will for little time. Thing of good times ahead:,ham",little time thing good time aheadham,0
ham,"Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,ham",room soon û clock til 8 shout realise 7 wahay hour bedham,0
ham,"Ok. There may be a free gym about.,ham",ok free gym aboutham,0
ham,"Men like shorter ladies. Gaze up into his eyes.,ham",man like short lady gaze eyesham,0
ham,"Dunno he jus say go lido. Same time 930.,ham",dunno jus lido time 930ham,0
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!,ham",promise good care princess run send pic chance ttylham,0
spam,"U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam",u subscribe good mobile content service uk å3 10 day send stop 82324 helpline 08706091795spam,1
ham,"Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,ham",reason speak year anyways great week good examham,0
ham,"By monday next week. Give me the full gist,ham",monday week gistham,0
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?,spam",realize 40 year thousand old lady run tattoosspam,1
spam,"You have an important customer service announcement from PREMIER.,spam",important customer service announcement premierspam,1
ham,"Dont gimme that lip caveboy,ham",gimme lip caveboyham,0
ham,"When did you get to the library,ham",libraryham,0
ham,"Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,ham",realy sorryi recognise number confuse   r u ham,0
ham,"So why didnt you holla?,ham",hollaham,0
ham,"Cant think of anyone with * spare room off * top of my head,ham",think   spare room   headham,0
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!,ham",faith thing possiblehope thing worklove thing beautifulmay christmasmerry christmasham,0
ham,"U should have made an appointment,ham",u appointmentham,0
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts,ham",youcarlo isare phone vibrate act hear textsham,0
spam,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.,spam",romantic paris 2 night 2 flight å79 book 4 year 08704439680tscs applyspam,1
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.,ham",grandma oh dear u ill feel shit morning think hungover night leave satham,0
spam,"Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam",urgent ur å500 guarantee award unclaimed 09066368327 closingdate040902 claimcode m39m51 å150pmmorefrommobile2bremovedmobypobox734ls27yfspam,1
ham,"Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham",jus tot u ask cos u ba gua mt faber yest yest jus mah today jus lorham,0
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."",ham",wish family merry x mas happy new year advanceham,0
spam,"UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,spam",ur award city break win å200 summer shopping spree wk txt store 88039   skilgme tscs087147403231winawkage16 å150perwksubspam,1
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...,ham",goin somethin meetin 4 dinner lor haha wonder tis timeham,0
ham,"Sorry, I'll call later,ham",sorry laterham,0
ham,"I cant pick the phone right now. Pls send a message,ham",pick phone right pls send messageham,0
ham,"Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,ham",lol know dramatic school close tomorrow apparently drive inch snow suppose getham,0
ham,"Not getting anywhere with this damn job hunting over here!,ham",damn job hunt hereham,0
ham,"Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,ham",lol u drunkard hair d moment yeah 4 tonight wat plan ham,0
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row,ham",idc weasele way shit twice rowham,0
ham,"I wil be there with in  &lt;#&gt;  minutes. Got any space,ham",wil   ltgt   minute spaceham,0
ham,"Just sleeping..and surfing,ham",sleepingand surfingham,0
ham,"Thanks for picking up the trash.,ham",thank pick trashham,0
ham,"Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,ham",tell friend sure want live smoke spend hour beg come smokeham,0
ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\"""",ham",hi kate lovely tonight ill phone tomorrow sing guy card xxxham,0
ham,"Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,ham",happy new year dear brother miss number decide send text wish happiness abiolaham,0
ham,"That means get the door,ham",mean doorham,0
ham,"Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham",opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls replyham,0
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?,ham",hmmm   think 2 hour slave 3   late   punish ham,0
ham,"Beerage?,ham",beerageham,0
spam,"You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,spam",important customer service announcement premier freephone 0800 542 0578 nowspam,1
ham,"Dont think so. It turns off like randomlly within 5min of opening,ham",think turn like randomlly 5min openingham,0
ham,"She was supposed to be but couldn't make it, she's still in town though,ham",suppose town thoughham,0
ham,"It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,ham",time fix spelling completely diff word figureham,0
spam,"Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam",think live good life perfect partner txt age join mobile community 100psmsspam,1
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.,spam",5 free polyphonic tone 087018728737 national rate toppoly tune send week text subpoly 81618 å3 pole unsub 08718727870spam,1
ham,"Gud mrng dear hav a nice day,ham",gud mrng dear hav nice dayham,0
ham,"This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,ham",hope enjoy game yesterday sorry touch pls know fondly bein thot great week abiolaham,0
ham,"All e best 4 ur driving tmr :-),ham",e 4 ur drive tmr ham,0
ham,"Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,ham",ywhere u dogbreath sound like jan c thatåõs alham,0
ham,"Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,ham",omg want scream weigh lose weight woohooham,0
ham,"There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,ham",generally uncountable noun   u dictionary piece researchham,0
ham,"it's really getting me down just hanging around.,ham",hang aroundham,0
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa,spam",orange customer claim free camera phone upgrade loyalty 0207 153 9996 offer end 14thmarch tc apply optout availaspam,1
ham,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\"""",ham",petey boy whereare friendsare thekingshead come canlove nicham,0
ham,"Ok i msg u b4 i leave my house.,ham",ok msg u b4 leave househam,0
ham,"\Gimme a few\"" was  &lt;#&gt;  minutes ago"",ham",gimme   ltgt   minute agoham,0
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16,spam",chance claim ur å150 worth discount voucher today text shop 85023 savamob offer mobile t cs savamob pobox84 m263uz å300 sub 16spam,1
ham,"Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,ham",appt lttimegt fault u listen tell u twiceham,0
spam,"FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam",free 1st week no1 nokia tone 4 ur mobile week txt nokia 8077 txte tell ur mate wwwgetzedcouk pobox 36504 w45wq 16 norm150ptonespam,1
spam,"You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam",win guarantee å200 award å1000 cashto claim ur award free 08000407165 18 2 stop getstop 88222 php rg21 4jxspam,1
ham,"K I'll be there before 4.,ham",k 4ham,0
ham,"I dled 3d its very imp,ham",dle 3d impham,0
ham,"sure, but make sure he knows we ain't smokin yet,ham",sure sure know smokin yetham,0
ham,"Boooo you always work. Just quit.,ham",boooo work quitham,0
ham,"I am taking half day leave bec i am not well,ham",half day leave bec wellham,0
ham,"Ugh I don't wanna get out of bed. It's so warm.,ham",ugh wanna bed warmham,0
ham,"S:)s.nervous  &lt;#&gt; :),ham",ssnervous   ltgt ham,0
ham,"So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,ham",ring come guy costume gift future yowife hint hintham,0
spam,"Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam",congratulation ur award å500 cd gift voucher   free entry 2 å100 weekly draw txt music 87066 tnc wwwldewcom1win150ppmx3age16spam,1
ham,"I borrow ur bag ok.,ham",borrow ur bag okham,0
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT,spam",u outbid simonwatson5120 shinco dvd plyr 2 bid visit sm acsmsreward 2 end bid notification reply end outspam,1
ham,"Where's my boytoy? I miss you ... What happened?,ham",boytoy miss   happenedham,0
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up,ham",lot babe model help youi bring match upham,0
ham,"Also are you bringing galileo or dobby,ham",bring galileo dobbyham,0
ham,"Then why you not responding,ham",respondingham,0
ham,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\"""",ham",boo babe u enjoyin yourjob u 2 b gettin hunnyhope ure oktake care   iåõllspeak 2u soonlot loveme xxxxham,0
ham,"Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,ham",good afternoon starshine boytoy crave ache fuck   sip cappuccino miss babe tease kissham,0
ham,"On the road so cant txt,ham",road txtham,0
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE,spam",smsservice yourinclusive text credit pls goto wwwcomuknet login 3qxj9 unsubscribe stop extra charge help 08702840625comuk 220cm2 9aespam,1
spam,"25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam",25p 4 alfie moon child need song ur mob tell ur m8s txt tone charity 8007 nokias poly charity polys zed 08701417012 profit 2 charityspam,1
ham,"Have a good evening! Ttyl,ham",good evening ttylham,0
ham,"Hmm .. Bits and pieces lol ... *sighs* ...,ham",hmm   bit piece lol   sigh ham,0
ham,"Hahaha..use your brain dear,ham",hahahause brain dearham,0
ham,"Hey. You got any mail?,ham",hey mailham,0
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around,ham",sorry light turn green mean friend want   ltgt   worth aroundham,0
ham,"Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,ham",thank yesterday sir wonderful hope enjoy burial mojibiolaham,0
spam,"U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam",u secret admirer reveal think u r special 09065174042 opt reply reveal stop 150 msg recd cust care 07821230901spam,1
ham,"Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,ham",hi mate rv u hav nice hol message 3 hello coz havenåõt send u 1 age start drive stay roadsrvxham,0
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062,spam",dear voucher holder claim week offer pc httpwwwetlpcoukexpressoffer tsc apply stop text txt stop 80062spam,1
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago,ham",thank skype wit kz sura pleasure company hope good ultimatum oh countin aburo enjoy message send day agoham,0
ham,"Surely result will offer:),ham",surely result offerham,0
ham,"Good Morning my Dear........... Have a great &amp; successful day.,ham",good morning dear great amp successful dayham,0
spam,"Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,spam",want 750 anytime network min 150 text new video phone pound week 08002888812 reply delivery tomorrowspam,1
ham,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks,ham",sir late pay rent past month pay   ltgt   charge feel inconsiderate nag great cost speak recession able pay charge month askin ahead month end help thanksham,0
spam,"We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam",try contact offer new video phone 750 anytime network min half price rental camcorder 08000930705 reply delivery wedspam,1
spam,"Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP,spam",chance 2 claim ur å150 worth discount voucherstext yes 85023 nowsavamobmember offer mobile t cs 08717898035 å300 sub 16   remove txt x stopspam,1
ham,"I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx,ham",luv u soo u donåõt understand special u r 2 ring u 2morrow luv u xxxham,0
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much.,ham",pls send comprehensive mail pay muchham,0
ham,"Our Prashanthettan's mother passed away last night. pray for her and family.,ham",prashanthettan mother pass away night pray familyham,0
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ,spam",urgent 09066350750 landline complimentary 4 ibiza holiday 10000 cash await collection sae tcs po box 434 sk3 8wp 150 ppm 18 spam,1
ham,"K.k:)when are you going?,ham",kkwhen goingham,0
ham,"Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,ham",shit suite xavier decide   ltgt   second warn samantha come play jay guitar impress shit think doug realize live anymoreham,0
ham,"My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,ham",stomach trauma swear eat lose weightham,0
ham,"I am in office:)whats the matter..msg me now.i will call you at break:).,ham",officewhat mattermsg nowi breakham,0
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later,ham",yeah barely room x fucking shoe sorry man laterham,0
spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X,spam",today offer claim ur å150 worth discount voucher text yes 85023 savamob member offer mobile t cs 08717898035 å300 sub 16   unsub reply xspam,1
ham,"U reach orchard already? U wan 2 go buy tickets first?,ham",u reach orchard u wan 2 buy ticket firstham,0
ham,"I am real, baby! I want to bring out your inner tigress...,ham",real baby want bring inner tigressham,0
ham,"No da if you run that it activate the full version da.,ham",da run activate version daham,0
ham,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\"""",ham",ah poor babyhope urfeeling bettersn luv probthat overdose work hey careful spk 2 u sn lot lovejen xxxham,0
ham,"Stop the story. I've told him i've returned it and he's saying i should not re order it.,ham",stop story tell return order itham,0
spam,"Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,spam",talk sexy new friend fall love world discreet text dating service text vip 83110 meetspam,1
ham,"Going to take your babe out ?,ham",babe ham,0
ham,"Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,ham",hai ana tomarrow come morning   ltdecimalgt   ill sathy ll rto office reply come homeham,0
ham,"Spoons it is then okay?,ham",spoon okayham,0
ham,"Did he just say somebody is named tampa,ham",somebody tampaham,0
ham,"In work now. Going have in few min.,ham",work minham,0
ham,"Your brother is a genius,ham",brother geniusham,0
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you,ham",sorry guess hold connection maybe hour text youham,0
ham,"Did u find out what time the bus is at coz i need to sort some stuff out.,ham",u find time bus coz need sort stuff outham,0
ham,"Dude ive been seeing a lotta corvettes lately,ham",dude ve lotta corvette latelyham,0
spam,"Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,spam",congratulation ur award yrs supply cd virgin record mystery gift guarantee 09061104283 tsc wwwsmsconet å150pm approx 3minsspam,1
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter,ham",consider wall bunker shit important play peaceful guess place high matterham,0
spam,"PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,spam",private 2003 account statement 07808 xxxxxx 800 unredeeme s m point 08719899217 identifier code 41685 expire 071104spam,1
spam,"Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,spam",hello need posh bird chap user trial prod champney need address dob asap ta rspam,1
spam,"What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam",u want xma 100 free text message   new video phone half price line rental free 0800 0721072 find morespam,1
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!,ham",officially philosophical hole u wanna home ready savedham,0
ham,"Its going good...no problem..but still need little experience to understand american customer voice...,ham",goodno problembut need little experience understand american customer voiceham,0
ham,"I'll text you when I drop x off,ham",text drop x offham,0
ham,"Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,ham",ugh long day exhaust want cuddle napham,0
ham,"Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,ham",talk atleast day miss good friend world shakespeare shesil   ltgtham,0
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary,spam",shop till u drop 10k 5k å500 cash å100 travel voucher 09064011000 ntt po box cr01327bt fixedline cost 150ppm mobile varyspam,1
ham,"Are you in castor? You need to see something,ham",castor need somethingham,0
spam,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam",sunshine quiz wkly q win sony dvd player u know country liverpool play mid week txt ansr 82277 å150 sptyronespam,1
spam,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,spam",u secret admirer look 2 contact ufind rreveal think ur specialcall 09058094565spam,1
spam,"U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,spam",u secret admirer look 2 contact ufind rreveal think ur specialcall 09065171142stopsms08spam,1
spam,"Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam",reminder download content pay goto httpdoit mymoby tv collect contentspam,1
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.,ham",know break time woul lead want miss curfew gibe ' til midnight movie til 2 need come home need getsleep need b studdye ear trainingham,0
ham,"I love to give massages. I use lots of baby oil... What is your fave position?,ham",love massage use lot baby oil fave positionham,0
ham,"Dude we should go sup again,ham",dude sup againham,0
ham,"Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,ham",yoyyooo u know change permission drive mac usb flash driveham,0
ham,"Gibbs unsold.mike hussey,ham",gibbs unsoldmike husseyham,0
ham,"I like to talk pa but am not able to. I dont know y.,ham",like talk pa able know yham,0
ham,"Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,ham",y dun cut short leh u dun like ah fail sadham,0
ham,"You unbelievable faglord,ham",unbelievable faglordham,0
ham,"Wife.how she knew the time of murder exactly,ham",wifehow know time murder exactlyham,0
ham,"Why do you ask princess?,ham",ask princessham,0
ham,"I am great princess! What are you thinking about me? :),ham",great princess think ham,0
ham,"Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,ham",nutter cutter ctter cttergg cttargg ctargg ctagg ie youham,0
ham,"It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,ham",ok noe u're busy bored msg u oso dunno wat colour choose 4 oneham,0
ham,"Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,ham",g class early tomorrow try smoke   ltgtham,0
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)"",ham",superb thought grateful u u want mean u opportunity happy tomorrow u todayham,0
ham,"Hope you are having a good week. Just checking in,ham",hope good week check inham,0
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.,ham",hope agent drop book thing year boston nyc experimentham,0
ham,"Thursday night? Yeah, sure thing, we'll work it out then,ham",thursday night yeah sure thing work thenham,0
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"",spam",free ringtone wait collect simply text password mix 85069 verify usher britney fml po box 5249 mk17 92h 450ppw 16spam,1
ham,"Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,ham",probably money worry thing come outstanding invoice work month agoham,0
ham,"How is it possible to teach you. And where.,ham",possible teach whereham,0
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe,ham",wonder phone battery dead   tell love babeham,0
ham,"Lovely smell on this bus and it ain't tobacco... ,ham",lovely smell bus tobacco ham,0
ham,"We're all getting worried over here, derek and taylor have already assumed the worst,ham",worried derek taylor assume worstham,0
ham,"Hey what's up charles sorry about the late reply.,ham",hey charle sorry late replyham,0
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468,spam",stereophonics marley dizzee racal libertine stroke win nookii game flirt click themob wap bookmark text wap 82468spam,1
ham,"I.ll give her once i have it. Plus she said grinule greet you whenever we speak,ham",ill plus grinule greet speakham,0
ham,"WHITE FUDGE OREOS ARE IN STORES,ham",white fudge oreo storesham,0
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min),spam",january male sale hot gay chat cheap 08709222922 national rate 15pmin cheap 78pmin peak stop text 08712460324 10pminspam,1
ham,"My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,ham",love   come long leave zaher word ym happy sad leave miss youham,0
ham,"I am sorry it hurt you.,ham",sorry hurt youham,0
ham,"Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ham",feel nauseous pissed eat sweet week cause today plan pig diet week hungry ham,0
ham,"Ok lor but not too early. Me still having project meeting now.,ham",ok lor early project meet nowham,0
ham,"Call me da, i am waiting for your call.,ham",da wait callham,0
ham,"I could ask carlos if we could get more if anybody else can chip in,ham",ask carlos anybody chip inham,0
ham,"Was actually about to send you a reminder today. Have a wonderful weekend,ham",actually send reminder today wonderful weekendham,0
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL,ham",people msg think iam addict msge wrong bcoz know iam addict sweet friend bslvylham,0
ham,"Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,ham",hey photo register drive ah tmr wanna meet yck ham,0
ham,"Dont talk to him ever ok its my word.,ham",talk ok wordham,0
ham,"When u wana see it then,ham",u wana thenham,0
ham,"On ma way to school. Can you pls send me ashley's number,ham",ma way school pls send ashley numberham,0
ham,"It shall be fine. I have avalarr now. Will hollalater,ham",shall fine avalarr hollalaterham,0
ham,"She went to attend another two rounds today..but still did't reach home..,ham",attend round todaybut did't reach homeham,0
ham,"Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,ham",actually delete old websitenow m blogge magicalsongsblogspotcomham,0
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins,ham",k wait chikkuil send aftr   ltgt minsham,0
ham,"But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,ham",diet eat 1 slice pizza yesterday ugh dietham,0
ham,"K:)i will give my kvb acc details:),ham",ki kvb acc detailsham,0
ham,"Oh all have to come ah?,ham",oh come ahham,0
spam,"money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,spam",money r lucky winner   2 claim prize text money 2 88600 å1million away   ppt150x3normal text rate box403 w1t1jyspam,1
ham,"I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),ham",sorry b able 2 fridayhope u find alternativehope yr term okham,0
ham,"Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,ham",congratulations ore mo owo wa enjoy wish happy moment fro goham,0
ham,"So do you have samus shoulders yet,ham",samus shoulder yetham,0
ham,"What time you think you'll have it? Need to know when I should be near campus,ham",time think need know near campusham,0
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.,spam",dear matthew 09063440451 landline complimentary 4lux tenerife holiday å1000 cash await collection ppm150 sae tcs box334 sk38xhspam,1
ham,"Then dun wear jeans lor...,ham",dun wear jeans lorham,0
ham,"Since when, which side, any fever, any vomitin.,ham",fever vomitinham,0
ham,"K:)k.are you in college?,ham",kkare collegeham,0
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+,spam",urgent 09061749602 landline complimentary 4 tenerife holiday å10000 cash await collection sae tcs box 528 hp20 1yf 150ppm 18spam,1
ham,"Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,ham",friday stuff like pig yesterday feel bleh writhe pain kind blehham,0
ham,"No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),ham",sell ton coin sell coin paypal voila money life pocketsham,0
ham,"Theyre doing it to lots of places. Only hospitals and medical places are safe.,ham",lot place hospital medical place safeham,0
