type,text,target,text_clean,text_encoded
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.,ham",0,dearme cherthalain case u r come cochin pls bfore u starti shall reach accordinglyor tell day u r comingtmorow engage holidayham,"[1, 1, 550, 2, 24, 6, 1, 59, 1, 2, 1, 252, 147, 1, 19, 21, 2, 24, 1, 1, 1]"
ham,"Thanks love. But am i doing torch or bold.,ham",0,thank love torch boldham,"[66, 15, 1, 1]"
spam,"<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam",1,forward 448712404000please 08712404000 immediately urgent message wait youspam,"[704, 1, 1, 772, 104, 71, 45, 786]"
ham,"Was the farm open?,ham",0,farm openham,"[1, 1]"
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.,ham",0,sorry trouble u buy 4d dad 1405 1680 1843 2 big 1 small sit n sun thanxham,"[25, 899, 2, 91, 1, 269, 1, 1, 1, 3, 166, 76, 644, 188, 29, 530, 765]"
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola,ham",0,sister law hope great month hey abiolaham,"[437, 1, 39, 46, 190, 47, 673]"
ham,"Will purchase d stuff today and mail to you. Do you have a po box number?,ham",0,purchase d stuff today mail po box numberham,"[1, 38, 174, 41, 342, 211, 212, 563]"
ham,"Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ham",0,ah poop look like ill prob send laptop fix cuz gpu problemham,"[385, 1, 93, 13, 94, 682, 9, 927, 551, 1, 1, 852]"
ham,"Good. Good job. I like entrepreneurs,ham",0,good good job like entrepreneursham,"[8, 8, 192, 13, 1]"
ham,"Aight, you close by or still down around alex's place?,ham",0,aight close alex placeham,"[236, 373, 1, 827]"
ham,"meet you in corporation st outside gap Û_ you can see how my mind is working!,ham",0,meet corporation st outside gap û mind workingham,"[50, 1, 647, 556, 787, 654, 195, 1]"
ham,"Mum ask Ì_ to buy food home...,ham",0,mum ask ì buy food homeham,"[446, 34, 48, 91, 467, 291]"
ham,"K..u also dont msg or reply to his msg..,ham",0,ku msg reply msgham,"[1, 70, 28, 1]"
ham,"How much r Ì_ willing to pay?,ham",0,r ì willing payham,"[24, 48, 1, 1]"
ham,"Sorry, I'll call later,ham",0,sorry laterham,"[25, 100]"
ham,"What is important is that you prevent dehydration by giving her enough fluids,ham",0,important prevent dehydration fluidsham,"[339, 1, 1, 1]"
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!,ham",0,s bit weird   suppose happen good idea sure pubham,"[44, 198, 1, 554, 180, 8, 863, 98, 1]"
ham,"True dear..i sat to pray evening and felt so.so i sms'd you in some time...,ham",0,true deari sit pray evening feel soso sms'd timeham,"[359, 1, 188, 820, 310, 56, 1, 1, 392]"
ham,"I don't think I can get away for a trek that long with family in town, sorry,ham",0,think away trek long family town sorryham,"[20, 316, 1, 144, 448, 315, 1]"
ham,"So when do you wanna gym harri,ham",0,wanna gym harriham,"[191, 954, 1]"
ham,"Quite late lar... Ard 12 anyway i wun b drivin...,ham",0,late lar ard 12 wun b drivinham,"[65, 263, 370, 537, 1, 106, 1]"
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT,spam",1,review fantastic nokia ngage game deck club nokia 2 wwwcnupdatescomnewsletter unsubscribe alert reply word outspam,"[1, 864, 99, 1, 248, 1, 394, 99, 3, 1, 435, 1, 28, 135, 1]"
spam,"4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,spam",1,4mths half price orange line rental   late camera phone 4 free phone 11mths mobilesdirect free 08000938767 update or2stoptxt tcsspam,"[1, 185, 305, 250, 148, 648, 65, 206, 33, 7, 12, 33, 836, 1, 12, 1, 318, 1, 1]"
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,this wont even start........ Datz confidence.."",ham",0,height confidence aeronautic professor wer calld amp wer askd 2 sit aeroplane aftr sit wer tell dat plane ws student dey hurry d plane bt 1 saidif studentsthis start datz confidenceham,"[1, 1, 1, 1, 1, 1, 73, 1, 684, 3, 188, 1, 1, 188, 1, 19, 179, 1, 1, 1, 1, 857, 38, 1, 292, 76, 1, 1, 96, 1, 1]"
ham,"It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham",0,like weird timing night g want come smoke day shitstorm attribute come smokeham,"[13, 1, 1, 64, 229, 14, 6, 338, 21, 1, 1, 6, 1]"
spam,"08714712388 between 10am-7pm Cost 10p,spam",1,08714712388 10am7pm cost 10pspam,"[1, 1, 184, 1]"
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.,ham",0,save stress person dorm account send account detail money send youham,"[576, 1, 138, 1, 165, 9, 165, 363, 128, 9, 81]"
ham,"He also knows about lunch menu only da. . I know,ham",0,know lunch menu da   knowham,"[10, 176, 1, 52, 529]"
ham,"When i have stuff to sell i.ll tell you,ham",0,stuff sell ill tell youham,"[174, 449, 94, 19, 81]"
spam,"+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,spam",1,449071512431 urgent 2nd attempt contact uu win å1250 09071512433 b4 050703 tcsbcm4235wc1n3xx callcost 150ppm mobilesvary maxå7 50spam,"[1, 104, 254, 332, 84, 1, 26, 1, 1, 564, 1, 1, 1, 471, 1, 1, 1]"
ham,"Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,ham",0,book lesson msg work sth spec membership px3748ham,"[202, 320, 70, 40, 1, 1, 1, 1]"
spam,"You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,spam",1,win guarantee å1000 cash å2000 prize claim yr prize customer service representative 08714712394 10am7pmspam,"[26, 131, 209, 89, 245, 67, 42, 546, 67, 120, 87, 744, 1, 1]"
ham,"Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,ham",0,macha feel upseti assume mindsetbelieve evening wonderful plan uslet life begin againcall anytimeham,"[1, 56, 1, 1, 1, 310, 506, 164, 1, 82, 1, 1, 1]"
ham,"Oh is it? Send me the address,ham",0,oh send addressham,"[58, 9, 1]"
ham,"S'fine. Anytime. All the best with it.,ham",0,s'fine anytime good itham,"[1, 553, 8, 119]"
ham,"That is wondar full flim.,ham",0,wondar flimham,"[1, 1]"
ham,"Ya even those cookies have jelly on them,ham",0,ya cookie jelly themham,"[130, 1, 1, 960]"
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.,ham",0,world run stillmaybe feel sameso itor admiti madthen correctionor let lifeand run worldmay u r runninglet runham,"[205, 208, 1, 56, 1, 1, 1, 1, 1, 69, 1, 208, 1, 2, 24, 1, 1]"
ham,"Got it! It looks scrumptious... daddy wants to eat you all night long!,ham",0,look scrumptious daddy want eat night longham,"[93, 1, 955, 14, 136, 64, 1]"
ham,"Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,ham",0,cos lar ba dao ok 1 pm lor y u ask ah u ask fri u ask todayham,"[83, 263, 1, 1, 16, 76, 412, 49, 153, 2, 34, 385, 2, 34, 605, 2, 34, 223]"
ham,"Alright omw, gotta change my order to a half8th,ham",0,alright omw change order half8thham,"[350, 1, 225, 327, 1]"
ham,"Exactly. Anyways how far. Is jide her to study or just visiting,ham",0,exactly anyways far jide study visitingham,"[1, 1, 559, 1, 516, 1]"
ham,"Dunno y u ask me.,ham",0,dunno y u ask meham,"[260, 153, 2, 34, 80]"
spam,"Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam",1,email alertfrom jeri stewartsize 2kbsubject lowcost prescripiton drvgsto listen email 123spam,"[531, 1, 1, 1, 1, 1, 1, 1, 444, 531, 1]"
ham,"No he didn't. Spring is coming early yay!,ham",0,spring come early yayham,"[1, 6, 173, 1]"
ham,"Lol you won't feel bad when I use her money to take you out to a steak dinner =D,ham",0,lol feel bad use money steak dinner dham,"[117, 56, 204, 151, 128, 1, 285, 1]"
ham,"Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,ham",0,u trouble convincingjust tel twice tel neglect msg c read itjust replyham,"[2, 899, 1, 588, 1, 588, 1, 70, 78, 297, 1, 582]"
ham,"Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,ham",0,leave qatar tonite search opportunityall fastpls add ur prayer dearrakheshham,"[53, 1, 1, 368, 1, 1, 501, 4, 1, 1]"
ham,"Then why no one talking to me,ham",0,talk meham,"[121, 80]"
ham,"Thanks for looking out for me. I really appreciate.,ham",0,thank look appreciateham,"[66, 93, 1]"
spam,"Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam",1,hi customer loyalty offerthe new nokia6650 mobile å10 txtauction txt word start 81151   4tctxt tc 150pmtmsgspam,"[36, 120, 1, 1, 31, 1, 27, 1, 1, 23, 135, 96, 1, 1, 273, 1]"
ham,"Wish i were with you now!,ham",0,wish nowham,"[102, 90]"
ham,"Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham",0,haha mayb u're rite u know da feeling like gd lor u fast find gal group attach liaoham,"[156, 655, 1, 565, 2, 10, 52, 1, 13, 566, 49, 2, 401, 62, 567, 1, 1, 697]"
ham,"Yes i will be there. Glad you made it.,ham",0,yes glad itham,"[72, 788, 119]"
ham,"Do well :)all will for little time. Thing of good times ahead:,ham",0,little time thing good time aheadham,"[257, 18, 55, 8, 18, 1]"
ham,"Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,ham",0,room soon û clock til 8 shout realise 7 wahay hour bedham,"[255, 161, 654, 1, 309, 442, 1, 1, 266, 1, 182, 950]"
ham,"Ok. There may be a free gym about.,ham",0,ok free gym aboutham,"[16, 12, 954, 1]"
ham,"Men like shorter ladies. Gaze up into his eyes.,ham",0,man like short lady gaze eyesham,"[137, 13, 677, 947, 1, 1]"
ham,"Dunno he jus say go lido. Same time 930.,ham",0,dunno jus lido time 930ham,"[260, 214, 1, 18, 1]"
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!,ham",0,promise good care princess run send pic chance ttylham,"[572, 8, 111, 298, 208, 9, 239, 175, 1]"
spam,"U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam",1,u subscribe good mobile content service uk å3 10 day send stop 82324 helpline 08706091795spam,"[2, 1, 8, 27, 460, 87, 351, 1, 496, 21, 9, 30, 1, 1, 1]"
ham,"Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,ham",0,reason speak year anyways great week good examham,"[439, 160, 95, 1, 46, 37, 8, 1]"
ham,"By monday next week. Give me the full gist,ham",0,monday week gistham,"[1, 37, 1]"
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?,spam",1,realize 40 year thousand old lady run tattoosspam,"[1, 854, 95, 1, 386, 947, 208, 1]"
spam,"You have an important customer service announcement from PREMIER.,spam",1,important customer service announcement premierspam,"[339, 120, 87, 1, 1]"
ham,"Dont gimme that lip caveboy,ham",0,gimme lip caveboyham,"[1, 1, 1]"
ham,"When did you get to the library,ham",0,libraryham,[1]
ham,"Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,ham",0,realy sorryi recognise number confuse   r u ham,"[1, 1, 1, 60, 1, 24, 2, 5]"
ham,"So why didnt you holla?,ham",0,hollaham,[1]
ham,"Cant think of anyone with * spare room off * top of my head,ham",0,think   spare room   headham,"[20, 1, 255, 1]"
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!,ham",0,faith thing possiblehope thing worklove thing beautifulmay christmasmerry christmasham,"[1, 55, 1, 55, 1, 55, 1, 1, 1]"
ham,"U should have made an appointment,ham",0,u appointmentham,"[2, 1]"
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts,ham",0,youcarlo isare phone vibrate act hear textsham,"[1, 1, 33, 1, 1, 163, 1]"
spam,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.,spam",1,romantic paris 2 night 2 flight å79 book 4 year 08704439680tscs applyspam,"[1, 1, 3, 64, 3, 1, 1, 202, 7, 95, 1, 770]"
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.,ham",0,grandma oh dear u ill feel shit morning think hungover night leave satham,"[1, 58, 74, 2, 94, 56, 247, 109, 20, 1, 64, 53, 1]"
spam,"Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam",1,urgent ur å500 guarantee award unclaimed 09066368327 closingdate040902 claimcode m39m51 å150pmmorefrommobile2bremovedmobypobox734ls27yfspam,"[104, 4, 418, 131, 107, 1, 1, 1, 1, 1, 1]"
ham,"Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham",0,jus tot u ask cos u ba gua mt faber yest yest jus mah today jus lorham,"[214, 381, 2, 34, 83, 2, 1, 1, 1, 1, 1, 1, 214, 745, 41, 214, 132]"
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."",ham",0,wish family merry x mas happy new year advanceham,"[102, 448, 837, 241, 1, 54, 31, 95, 1]"
spam,"UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,spam",1,ur award city break win å200 summer shopping spree wk txt store 88039   skilgme tscs087147403231winawkage16 å150perwksubspam,"[4, 107, 1, 358, 26, 834, 789, 651, 1, 323, 23, 790, 1, 1, 1, 1]"
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...,ham",0,goin somethin meetin 4 dinner lor haha wonder tis timeham,"[402, 1, 1, 7, 285, 49, 156, 333, 1, 392]"
ham,"Sorry, I'll call later,ham",0,sorry laterham,"[25, 100]"
ham,"I cant pick the phone right now. Pls send a message,ham",0,pick phone right pls send messageham,"[63, 33, 79, 59, 9, 395]"
ham,"Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,ham",0,lol know dramatic school close tomorrow apparently drive inch snow suppose getham,"[117, 10, 1, 290, 373, 124, 1, 193, 1, 612, 554, 1]"
ham,"Not getting anywhere with this damn job hunting over here!,ham",0,damn job hunt hereham,"[1, 192, 1, 336]"
ham,"Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,ham",0,lol u drunkard hair d moment yeah 4 tonight wat plan ham,"[117, 2, 1, 352, 38, 594, 77, 7, 207, 61, 164, 5]"
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row,ham",0,idc weasele way shit twice rowham,"[1, 1, 68, 247, 1, 1]"
ham,"I wil be there with in  &lt;#&gt;  minutes. Got any space,ham",0,wil   ltgt   minute spaceham,"[413, 11, 187, 1]"
ham,"Just sleeping..and surfing,ham",0,sleepingand surfingham,"[1, 1]"
ham,"Thanks for picking up the trash.,ham",0,thank pick trashham,"[66, 63, 1]"
ham,"Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,ham",0,tell friend sure want live smoke spend hour beg come smokeham,"[19, 57, 98, 14, 133, 338, 353, 182, 1, 6, 1]"
ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\"""",ham",0,hi kate lovely tonight ill phone tomorrow sing guy card xxxham,"[36, 824, 532, 207, 94, 33, 124, 1, 112, 468, 356]"
ham,"Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,ham",0,happy new year dear brother miss number decide send text wish happiness abiolaham,"[54, 31, 95, 74, 405, 35, 60, 286, 9, 17, 102, 656, 673]"
ham,"That means get the door,ham",0,mean doorham,"[115, 1]"
ham,"Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham",0,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls replyham,"[778, 76, 3, 1, 97, 1, 7, 750, 168, 946, 261, 1, 1, 266, 1, 442, 1, 283, 400, 59, 582]"
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?,ham",0,hmmm   think 2 hour slave 3   late   punish ham,"[822, 20, 3, 182, 961, 97, 65, 1, 5]"
ham,"Beerage?,ham",0,beerageham,[1]
spam,"You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,spam",1,important customer service announcement premier freephone 0800 542 0578 nowspam,"[339, 120, 87, 1, 1, 915, 577, 1, 1, 519]"
ham,"Dont think so. It turns off like randomlly within 5min of opening,ham",0,think turn like randomlly 5min openingham,"[20, 573, 13, 1, 1, 1]"
ham,"She was supposed to be but couldn't make it, she's still in town though,ham",0,suppose town thoughham,"[554, 315, 887]"
ham,"It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,ham",0,time fix spelling completely diff word figureham,"[18, 551, 1, 821, 1, 135, 1]"
spam,"Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam",1,think live good life perfect partner txt age join mobile community 100psmsspam,"[20, 133, 8, 82, 1, 1, 23, 485, 220, 27, 1, 1]"
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.,spam",1,5 free polyphonic tone 087018728737 national rate toppoly tune send week text subpoly 81618 å3 pole unsub 08718727870spam,"[168, 12, 1, 92, 1, 622, 275, 1, 1, 9, 37, 17, 1, 1, 1, 1, 1, 1]"
ham,"Gud mrng dear hav a nice day,ham",0,gud mrng dear hav nice dayham,"[108, 1, 74, 295, 134, 172]"
ham,"This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,ham",0,hope enjoy game yesterday sorry touch pls know fondly bein thot great week abiolaham,"[39, 181, 248, 426, 25, 487, 59, 10, 1, 1, 1, 46, 37, 673]"
ham,"All e best 4 ur driving tmr :-),ham",0,e 4 ur drive tmr ham,"[75, 7, 4, 193, 433, 5]"
ham,"Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,ham",0,ywhere u dogbreath sound like jan c thatåõs alham,"[1, 2, 1, 311, 13, 1, 78, 1, 1]"
ham,"Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,ham",0,omg want scream weigh lose weight woohooham,"[962, 14, 602, 1, 201, 1, 1]"
ham,"There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,ham",0,generally uncountable noun   u dictionary piece researchham,"[1, 1, 1, 2, 1, 1, 1]"
ham,"it's really getting me down just hanging around.,ham",0,hang aroundham,"[1, 865]"
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa,spam",1,orange customer claim free camera phone upgrade loyalty 0207 153 9996 offer end 14thmarch tc apply optout availaspam,"[250, 120, 42, 12, 206, 33, 1, 1, 1, 1, 1, 157, 114, 1, 273, 334, 849, 1]"
ham,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\"""",ham",0,petey boy whereare friendsare thekingshead come canlove nicham,"[1, 200, 1, 1, 1, 6, 1, 1]"
ham,"Ok i msg u b4 i leave my house.,ham",0,ok msg u b4 leave househam,"[16, 70, 2, 564, 53, 527]"
ham,"\Gimme a few\"" was  &lt;#&gt;  minutes ago"",ham",0,gimme   ltgt   minute agoham,"[1, 11, 187, 1]"
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16,spam",1,chance claim ur å150 worth discount voucher today text shop 85023 savamob offer mobile t cs savamob pobox84 m263uz å300 sub 16spam,"[175, 42, 4, 347, 499, 705, 194, 41, 17, 222, 1, 606, 157, 27, 364, 780, 606, 1, 1, 1, 607, 369]"
ham,"Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,ham",0,appt lttimegt fault u listen tell u twiceham,"[1, 1, 1, 2, 444, 19, 2, 1]"
spam,"FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam",1,free 1st week no1 nokia tone 4 ur mobile week txt nokia 8077 txte tell ur mate wwwgetzedcouk pobox 36504 w45wq 16 norm150ptonespam,"[12, 203, 37, 866, 99, 92, 7, 4, 27, 37, 23, 99, 1, 685, 19, 4, 270, 867, 476, 1, 1, 240, 1]"
spam,"You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam",1,win guarantee å200 award å1000 cashto claim ur award free 08000407165 18 2 stop getstop 88222 php rg21 4jxspam,"[26, 131, 834, 107, 209, 1, 42, 4, 107, 12, 1, 227, 3, 30, 1, 1, 1, 1, 1]"
ham,"K I'll be there before 4.,ham",0,k 4ham,"[103, 1]"
ham,"I dled 3d its very imp,ham",0,dle 3d impham,"[1, 1, 1]"
ham,"sure, but make sure he knows we ain't smokin yet,ham",0,sure sure know smokin yetham,"[98, 98, 10, 1, 544]"
ham,"Boooo you always work. Just quit.,ham",0,boooo work quitham,"[1, 40, 1]"
ham,"I am taking half day leave bec i am not well,ham",0,half day leave bec wellham,"[185, 21, 53, 1, 488]"
ham,"Ugh I don't wanna get out of bed. It's so warm.,ham",0,ugh wanna bed warmham,"[718, 191, 322, 1]"
ham,"S:)s.nervous  &lt;#&gt; :),ham",0,ssnervous   ltgt ham,"[1, 11, 5]"
ham,"So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,ham",0,ring come guy costume gift future yowife hint hintham,"[393, 6, 112, 1, 279, 1, 1, 1, 1]"
spam,"Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam",1,congratulation ur award å500 cd gift voucher   free entry 2 å100 weekly draw txt music 87066 tnc wwwldewcom1win150ppmx3age16spam,"[552, 4, 107, 418, 639, 279, 194, 12, 281, 3, 366, 329, 154, 23, 340, 640, 1, 1]"
ham,"I borrow ur bag ok.,ham",0,borrow ur bag okham,"[1, 4, 963, 118]"
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT,spam",1,u outbid simonwatson5120 shinco dvd plyr 2 bid visit sm acsmsreward 2 end bid notification reply end outspam,"[2, 1, 1, 1, 909, 1, 3, 868, 525, 183, 1, 3, 114, 868, 1, 28, 114, 1]"
ham,"Where's my boytoy? I miss you ... What happened?,ham",0,boytoy miss   happenedham,"[517, 35, 1]"
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up,ham",0,lot babe model help youi bring match upham,"[149, 85, 1, 141, 1, 169, 430, 230]"
ham,"Also are you bringing galileo or dobby,ham",0,bring galileo dobbyham,"[169, 1, 1]"
ham,"Then why you not responding,ham",0,respondingham,[1]
ham,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\"""",ham",0,boo babe u enjoyin yourjob u 2 b gettin hunnyhope ure oktake care   iåõllspeak 2u soonlot loveme xxxxham,"[1, 85, 2, 1, 1, 2, 3, 106, 791, 1, 1, 1, 111, 1, 1, 1, 1, 1]"
ham,"Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,ham",0,good afternoon starshine boytoy crave ache fuck   sip cappuccino miss babe tease kissham,"[8, 304, 1, 517, 627, 1, 215, 1, 1, 35, 85, 931, 533]"
ham,"On the road so cant txt,ham",0,road txtham,"[759, 1]"
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE,spam",1,smsservice yourinclusive text credit pls goto wwwcomuknet login 3qxj9 unsubscribe stop extra charge help 08702840625comuk 220cm2 9aespam,"[1, 1, 17, 301, 59, 912, 1, 1, 1, 435, 30, 657, 217, 141, 1, 1, 1]"
spam,"25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam",1,25p 4 alfie moon child need song ur mob tell ur m8s txt tone charity 8007 nokias poly charity polys zed 08701417012 profit 2 charityspam,"[957, 7, 1, 1, 738, 22, 575, 4, 302, 19, 4, 1, 23, 92, 1, 403, 1, 440, 1, 1, 1, 1, 1, 3, 1]"
ham,"Have a good evening! Ttyl,ham",0,good evening ttylham,"[8, 310, 1]"
ham,"Hmm .. Bits and pieces lol ... *sighs* ...,ham",0,hmm   bit piece lol   sigh ham,"[710, 198, 1, 117, 1, 5]"
ham,"Hahaha..use your brain dear,ham",0,hahahause brain dearham,"[1, 1, 289]"
ham,"Hey. You got any mail?,ham",0,hey mailham,"[47, 1]"
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around,ham",0,sorry light turn green mean friend want   ltgt   worth aroundham,"[25, 568, 573, 1, 115, 57, 14, 11, 499, 865]"
ham,"Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,ham",0,thank yesterday sir wonderful hope enjoy burial mojibiolaham,"[66, 426, 325, 506, 39, 181, 1, 1]"
spam,"U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam",1,u secret admirer reveal think u r special 09065174042 opt reply reveal stop 150 msg recd cust care 07821230901spam,"[2, 490, 761, 792, 20, 2, 24, 158, 1, 562, 28, 792, 30, 645, 70, 1, 1, 111, 1]"
ham,"Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,ham",0,hi mate rv u hav nice hol message 3 hello coz havenåõt send u 1 age start drive stay roadsrvxham,"[36, 270, 1, 2, 295, 134, 1, 71, 97, 140, 414, 1, 9, 2, 76, 485, 96, 193, 213, 1]"
